,Industry,Quarter,Cumulative time,Loop time
192,4530, 2018 q3,203810.02835,50.30681700000423
193,4530, 2018 q4,203866.063959,56.035608999984106
194,4530, 2019 q1,204531.01223,664.9482710000011
195,4530, 2019 q2,204583.114953,52.10272300001816
196,4530, 2019 q3,204636.029448,52.91449499997543
197,4530, 2019 q4,204694.689983,58.66053500000271
198,4530, 2020 q1,205324.638448,629.9484650000231
199,4530, 2020 q2,205375.244056,50.60560799998348
200,5010, 2018 q1,205406.523789,31.279733000003034
201,5010, 2018 q2,205437.643511,31.119722000003094
202,5010, 2018 q3,205468.951201,31.307689999986906
203,5010, 2018 q4,205500.048245,31.097044000023743
204,5010, 2019 q1,205530.840546,30.79230099997949
205,5010, 2019 q2,205561.341984,30.5014380000066
206,5010, 2019 q3,205592.280071,30.938086999987718
207,5010, 2019 q4,205625.77929,33.499219000019366
208,5010, 2020 q1,205656.833307,31.054016999987653
209,5010, 2020 q2,205688.318843,31.485535999992862
210,5020, 2018 q1,207484.282927,1795.9640840000066
211,5020, 2018 q2,209289.985317,1805.7023900000204
212,5020, 2018 q3,211062.313459,1772.328141999984
213,5020, 2018 q4,216679.771363,5617.45790400001
214,5020, 2019 q1,218456.082077,1776.310713999992
215,5020, 2019 q2,223831.812896,5375.730818999989
216,5020, 2019 q3,229366.568807,5534.755911000015
217,5020, 2019 q4,240252.413609,10885.844802000007
218,5020, 2020 q1,242592.105743,2339.6921339999826
219,5020, 2020 q2,254384.75037,11792.644627000001
220,5510, 2018 q1,254429.031556,44.28118600000744
221,5510, 2018 q2,254471.124261,42.0927049999882
222,5510, 2018 q3,254512.470843,41.34658199999831
223,5510, 2018 q4,254554.725449,42.25460600000224
224,5510, 2019 q1,254600.345272,45.61982300001546
225,5510, 2019 q2,254646.152128,45.80685599998105
226,5510, 2019 q3,254689.122285,42.97015700000338
227,5510, 2019 q4,254733.055612,43.9333270000061
228,5510, 2020 q1,254778.253007,45.197394999995595
229,5510, 2020 q2,254821.442822,43.189815000019735
230,6010, 2018 q1,254863.042386,41.599563999974634
231,6010, 2018 q2,254905.903813,42.86142700002529
232,6010, 2018 q3,254948.355353,42.451539999980014
233,6010, 2018 q4,254992.406532,44.051179000001866
234,6010, 2019 q1,255036.38556,43.97902800000156
235,6010, 2019 q2,255079.27018,42.884619999997085
236,6010, 2019 q3,255122.493941,43.223761000001105
237,6010, 2019 q4,255168.270159,45.776218000013614
238,6010, 2020 q1,255212.052656,43.782497000007425
239,6010, 2020 q2,255255.166267,43.113610999978846
